English,Korean
chambers,"(문어), (집의), 방, (궁정, 등의), 공무, 집행실, (chambers), (주로, 영), 한, 줄로, 이어져, 있는, 방, 방에, 가두다, 방을, 만들다"
dump,"버리다, 쓰레기, 더미, 헤어지다, 덤프트럭, 빠지다"
greetings,"인사, (보통, greetings), (편지, 등의), 인사말, (greetings), (격식, 또는, 익살), (낮에, 하는, 인사말로), 안녕하십니까, 인사말, 안부, 묻는, 말"
inherited,"상속한, 계승한, 유전의"
warming,"온난화, 가온, 따뜻해짐, 준비, 덥히기"
incomplete,"불완전한, 불충분한, 미완성의"
vocals,"목소리의, 거침없이, 마구, 의견을, 말하는, 유성음의, (종종, vocals), (재즈·대중, 음악의), 보컬(의, 연기), 유성음"
chronicle,"연대기, …을, 연대기에, 싣다, 이야기"
fountain,"분수, 샘, 수원, 식수대"
chubby,"통통한, 뚱뚱한, 토실토실, 살찐, 둥글둥글한"
grave,"무덤, 심각한, 중대한"
legitimate,"정당한, 합법의, 정통의"
biographies,"전기, (집합적), 전기물, 일대기"
burner,"버너, 화구, 태우는, 사람"
yrs,"years, yours"
foo,"바보, 향수, 멍청이"
investigator,"수사관, 조사자, 탐정, 연구원"
gba,"올더니, 섬, 올더니종의, 젖소"
plaintiff,"원고, 고소인"
finnish,"핀란드의, 핀란드어, 핀란드인의"
gentle,"부드러운, 온순한, 친절한, 다정한, 점잖은"
bm,"bench, mark, Brigade, Major, British, Museum"
prisoners,"죄수를, 구금하다"
deeper,"(세로, 방향으로), 깊은, (가로, 방향으로), (안, 길이가), 긴, (폭이), 넓은, (보통, deeps), (바다·호수·강, 등의), 깊은, 곳, (the, deep), (공간·시간, 등의), 엄청난, 범위"
muslims,"이슬람교(문명)의, 이슬람교도(Moslem,, Muslem), (미), Black, Muslim"
hose,"호스, 호스로, 물을, 뿌리다, 스타킹, …을, 속이다, …을, 결정적으로, 패배시키다"
mediterranean,지중해의
nightlife,"밤의, 생활, 밤놀이"
footage,"피트, 수, 전체, 길이, 장면"
howto,"어떻게, 방법, 배우기, 법, 방식"
worthy,"가치, 있는, 훌륭한, 자격, 있는, 해볼만한"
reveals,"드러내다, 나타내다, 출현, 창틀·문설주와, 앞벽사이의, 드러난, 측면, (자동차의), 창틀"
architects,"…을, 건축하다, 설계하다(plan), 기획하다, 건축가, (the, architect), (일반적으로), 고안자"
saints,"…을, 성인의, 반열에, 올리다, 시성(諡聖)하다(canonize), …을, 성인으로, 받들다, 성인(聖人), 크리스트교, 신자"
entrepreneur,"기업인, 기업가, 사업가, 창업자, 회사"
carries,"…을, 나르다, …을, 전달하다, (보통, 수동태), 통과시키다, 나르다, (거리), (어느, 거리까지), 이르다"
sig,"분과회, 연구회, signal, signature, signor"
freelance,"자유, 계약의, 자유, 계약으로, 일하다, 프리랜서"
duo,"2인조, 「2」의, 뜻, 2중창"
excessive,"과도한, 지나친, 엄청난, 극단적인"
devon,"데번, 영국, 잉글랜드, 남서부의, 주"
screensaver,"스크린, 세이버, 화면, 보호, 장치"
helena,"여자, 이름, 헬레나"
saves,"…을, 구하다, 모으다, (피로해지지, 않도록), 보호하다, 저금하다, 허비하지, 않다"
regarded,"／regard＋＋as＋doing／regard＋＋as＋과거분사, …을, (…으로), 간주하다, (격식), (어떤, 감정을, 가지고), …을, 보다, (종종, 부정문·의문문), (격식), …에, 주의를, 기울이다, 주의를, 기울이다, 주시하다(look,, gaze)"
valuation,"평가, 감정, 사정"
unexpected,"예기치, 않은"
cigarette,"담배, 궐련"
fog,"안개, 흐릿해지다"
marion,"남자, 이름"
lobby,"로비, 공작하다, 압력, 단체"
egyptian,"이집트의, 이집트인, 이집트어"
tunisia,"튀니지, 튀니지의, 튀니지풍의"
metallica,"추해당과에, 속한, 원예, 화초"
outlined,"윤곽, 윤곽도, 대요, …의, 윤곽을, 그리다, …의, 요점을, 말하다"
consequently,"결과적으로, 그, 결과로서, 그에, 따른"
headline,"머리기사, 헤드라인, 대서특필하다"
treating,"대우하다, …을, (…으로), 여기다, 치료하다, (격식), 다루다, (격식), 교섭하다(negotiate)"
punch,"펀치, 때리다, 구멍, 주먹질, 박력"
appointments,"임명, (모임·방문, 등의), 약속(을, 하기,, 정하기), (보통, appointments), (건물·배, 등의), 설비, 임용, 비품"
str,"string, strait, streamer"
gotta,"해야겠다, 해야된다"
cowboy,"카우보이, 목동, 난폭한, 운전자"
narrative,"설명적인, 이야기, 담화, 화자, 대사"
bahrain,바레인
enormous,"엄청난, 거대한, 큰, 막대한, 매우"
karma,"인연, 갈마, 업"
consist,"구성되다, 이루어지다"
betty,"여자, 이름, 매력적인, 여성, 가짜, 마약"
queens,"퀸스, 퀸즈"
academics,"(한정적), 학원의, (한정적), (미), (직업, 교육·응용, 학문에, 대하여), 순수, 학문의, 학리적(學理的)인"
pubs,"(주로, 영·비격식), 퍼브, 대중적, 술집, 선술집(public, house)"
quantitative,"양적, 계량, 수량"
shemales,"여성화된, 남자, 여장, 남자"
lucas,"남자, 이름"
screensavers,"〔컴퓨터〕, 화면을, 오려, 켜두어, 화면이, 손상되는, 것을, 방지하는, 프로그램"
subdivision,"세분, 재분할, 세분화된, 것"
tribes,"약탈로, 생활하는, 민족"
vip,"중요, 인물, 요인, 귀빈"
defeat,"이기다, 물리치다, 패배시키다, 무찌르다"
clicks,"찰깍하는, 소리, 제륜자(制輪子), 혀차는, 소리(suction, stop), 찰깍, 소리가, 나다, (비격식), 성공하다"
distinction,"구별, 차이, 차별, 영예"
honduras,"온두라스, 공화국, 영령, 온두라스"
naughty,"버릇없는, 장난꾸러기인, 행실이, 나쁜, 말을, 듣지, 않는"
hazards,"(생길, 수, 있다고, 여겨지는), 위험, 위험을, 초래하는, 원인, 우연(히, 일어난, 일), 과감히, 말하다, (격식), 걸다"
insured,"피보험자, 보험, 계약자, 보험에, 든"
harper,"하프, 연주자, 장황하고, 지루하게, 같은, 말을, 하는, 사람"
livestock,"축산물, 가축"
mardi,"참회, 화요일, 맛있는, 음식을, 먹고, 요란한, 축제를, 엶, 미국에서는, 남부의, 각지에서, 행해짐"
exemption,"면제, 면세품, 공제"
sustainability,"유지, 가능성"
cabinets,"(종종, Cabinet), (집합적), (미), 대통령, 고문단, 장식장, (라디오·텔레비전을, 넣을, 수, 있고, 레코드, 선반이, 달린), 캐비닛, (종종, Cabinet), 내각의, 비밀의"
tattoo,"문신, 새기다, 툭툭"
shake,"흔들다, 떨다, 떨쳐버리다, 악수하다, 휘두르다"
algebra,"대수, 대수학"
shadows,"(사람·물체, 등의), 그림자(cf., SHADE, ), (보통, the, shadow(s)), 그늘, (shadows), 땅거미, (보통, 수동태), (문어), …을, 그늘지게, 하다, …을, 음침하게, 하다"
holly,"여자, 이름, 감탕나뭇과의, 나무의, 총칭"
formatting,"초기화, 체제를, 갖추기"
silly,"어리석은, 바보, 어처구니, 없는"
nutritional,"영양의, 영양상의, 영양에, 관한"
yea,"예, 그렇다, 찬성, 투표"
mercy,"자비, 머시, 은총, …에, 따라"
hartford,하트퍼드
freely,"아낌없이, 자유롭게, 기꺼이"
marcus,"남자, 이름"
sunrise,"일출, 해돋이"
wrapping,"포장, 재료, 포장지, 포장"
mild,"가벼운, 순한, 온화한, 부드러운"
fur,"털, 모피"
nicaragua,"니카라과, 공화국, (약어)Nicar., 나카라과, 호수"
weblogs,웹로그
timeline,"행사, 스케줄, 우주, 비행, 중의, 스케줄"
tar,"타르, 부추기다, 선원"
belongs,"소속하다, 일원으로, 적격이다, 있다, (분류상), 속하다, 성질이, 있다"
rj,"알리아, 항공(Alia), (국제, 약칭)RJ"
readily,"쉽게, 기꺼이, 즉시, 선뜻, 쾌히"
affiliation,"관계, 소속, 제휴, 관련, 협력"
soc,"social, overhead, capital, social, Socialist, society"
fence,"울타리, 펜스, 담, 펜싱, 막다"
nudist,"나체주의자, 나체주의의, 누디스트"
infinite,"무한한, 끝없는, 무궁한, 무수한, 인피니트"
diana,"다이애나, 다이아나, 디아나"
ensures,"…을, 확실하게, 하다, 확보하다, 반드시, 들어오게, 하다, 지키다, 보증하다"
relatives,"친척, 동류(同類), 상대물, 비교상의, 관계가, 있는"
lindsay,"남자, 이름, 린지"
clan,"씨족, 문중, 일족"
legally,"법적으로, 합법적으로"
shame,"수치심, 부끄럽다, 안타깝다, 창피, 유감이다"
satisfactory,만족스러운
revolutionary,"혁명의, 혁신적인, 변혁"
bracelets,"팔찌, (속어), 수갑(handcuff)"
sync,"동기화, 발맞추다, 함께, 협력, 싱크"
civilian,"일반인의, 민간의"
telephony,"전화, 통신, 전화, 통화법"
mesa,"메사, 미국, 남서부·멕시코의, 건조, 지대에, 많음, 탁상, 대지"
fatal,"치명적인, 죽음에, 이르는, 불행한"
remedy,"요법, 치료하다, 구제하다, 처방하다"
realtors,"공인, 부동산업자(real, estate, agent)"
breathing,"호흡, 한숨, 휴지"
briefly,"간단히, 잠시동안, 간략하게, 일시적으로"
thickness,"두께, 굵기"
adjustments,"조정, 적응, 조절, 장치, 지급, 보험, 금액의, 결정, 조절"
graphical,"-graphic, 그래픽의, 그래프로, 된"
genius,"천재, 비범한, 영재"
discussing,"채무의, 상환을, 받다, 부동산에, 앞서, 동산을, 강제, 집행하다, …을, 논하다, 논의하다, 화제로, 삼다"
aerospace,"항공, 우주, 항공, 우주의, 대기권, 및, 우주, 공간"
fighter,"전투기, 투사, 파이터, 선수, 운동가"
meaningful,"의미, 있는, 의미심장한"
flesh,"살, 피부, 육체, 고기, 신체"
retreat,"후퇴, 휴양지, 물러서다, 하락, 은거"
adapted,"개조된, 개작된, 적합한"
barely,"거의, …않다, 겨우, 간신히"
wherever,"어디든, 가는, 곳마다, 어떤, 경우에도"
estates,"토지, (단수형), 재산(권), (영), (도시, 부근의), 주택, 개발, (고어), (정치·사회적), 신분, (단수형), (고어), (사회적, 지위·신분과, 관련된), 경제, 상태"
rug,"양탄자, 깔개, 카펫, 융단"
democrat,"민주당의, 민주당원"
borough,"자치구, 자치시, 군"
maintains,"유지하다, (마땅한, 상태로), 유지하다, …을, (공격·위험에서), 지키다, 부양하다, 고수하다"
failing,"결점, 실패, 낙제"
shortcuts,"지름길, 단축키, 첩경(shorter, way)"
ka,"혼, kiloampere, 한국, 육군"
retained,"…을, 유지하다, (예약금을, 지급하고), 고용하고, 있다, 보유하다, …을, 계속, 지니다, 간직하다"
voyeurweb,
pamela,"여자, 이름"
andrews,앤드루스
marble,"대리석, 구슬, 마블"
extending,전개도
jesse,"남자, 이름, 다윗의, 아버지"
specifies,"이름을, 들어, 말하다, 상술하다, …의, 이름을, (일일이), 열거하다, …을, 특징짓다, …이라는, 조건을, 붙이다"
hull,선체
logitech,"수준이, 낮은, 기술"
surrey,"서리형, 마차, 서리, 영국의, 지명"
briefing,"간단한, 보고, 상황, 설명, 전황, 요약"
belkin,"하늘, 천국, 상공"
dem,"「민중」, 「인민」, 「서민」, 「인구」의, 뜻, demonstrative, Democrat"
accreditation,"인가, 신임, 인정"
wav,"WAVE, 파일, Windows, 표준의, 음성, 파일, 형식"
blackberry,"검은딸기, 검은딸기를, 따다, 그, 나무"
highland,"고지, 하일랜드, 산악지"
meditation,명상
modular,"모듈의, 모듈라, 조립식"
microphone,마이크
macedonia,"마케도니아, 고대, 그리스, 북쪽에, 있던, 왕국, Balkan, 반도의, 중부"
combining,"…을, 결합하여, 하나로, 하다, …을, 아울러, 가지다, (미), 콤바인으로, 수확하다, 결합하다, 합동하다"
brandon,"브랜든, 브랜던"
instrumental,"주된, 역할을, 하는, 기악"
giants,"(이야기·전설, 등에, 나오는, 상상의), 거인, (일반적으로), 거인, 위대한, 재능의, 소유자, 엄청나게, 큰, 비범한"
organizing,"조직하다, (주로, 미), 노동조합으로, 조직하다, 설립하다(establish), 단결하다, 유기체로, 되다"
shed,"흘리다, 창고, 벗다, 빠지다, 탈피하다"
balloon,"풍선, 기구, 늘어나다"
moderators,"중재자, (입법부, 회의·공개, 토론회, 등의), 의장, (영), (Oxford, 대학의), 제1차, 학사, 시험의, 시험관, 감속재, (프로테스탄트에서), 장로, 교회, 총회, 의장"
winston,"남자, 이름"
ham,"햄, 서투른"
solved,"풀다, 갚다, (고어), 용해하다, 해명하다, …에, 해답을, 주다"
tide,"조수, 흐름, 극복하다"
kazakhstan,카자흐스탄
hawaiian,"하와이, 사람, 하와이의, 하와이, 제도의"
standings,"신분, 훌륭한, 신분, 존속, 서, 있는, 선, 자세로, 하는"
partition,"칸막이, 분할, 구획"
invisible,"눈에, 보이지, 않는, 투명한, 감출, 수, 있는"
gratuit,"무료의,, 호의상의, (neintemeial), 이유, 없는,, 사실무근의,, 소용없는, 무료로,, 불필요하게,, 보상, 없이,, 이유, 없이"
consoles,"위로하다, …을, 격려하다, cf., COMFORT"
funk,"훵크, 겁, 걱정, 우울, 침체"
fbi,"연방, 수사국, FBI"
qatar,"카타르, 반도, 카타르"
magnet,"자석, …을, 끄는"
translations,"번역, 해석, (미), 자동, 중계, (주교의), 전임, 병진, 운동"
porsche,"포르쉐, 포르셰"
cayman,"카이만(caiman), 열대, 아메리카산, 악어"
jaguar,"재규어, 아메리카표범"
reel,"릴, 비틀거리다, 얼레, 휘청거리다"
sheer,"순전히, 순수한, 단순한, 완전히, 전적인"
commodity,"상품, 원자재, 생필품"
posing,"포즈를, 취하다, (모델로), 어떤, 자세를, 취하다, 포즈를, 취하게, 하다, 주장하다, (고어), …을, 두다"
wang,"가다, (…로), 향하다, 이전의, …쪽으로, …쪽에서, (…하다)"
kilometers,킬로미터
rp,"Reformed, Presbyterian, Regimental, Police, Regius, Professor"
bind,"묶다, 결합하다, 구속되다, 곤경, 속박하다"
thanksgiving,"감사의, 표시, 감사의, 축제, 추수, 감사절"
rand,"남아프리카, 공화국, 통화단위, 구두, 뒤축에, 넣는, 말굽형, 가죽, Witwatersrand"
hopkins,홉킨스
urgent,"긴급한, 급박한, 긴박한, 절박한, 다급한"
guarantees,"채무, 보증, 보증인, 피보증인, 보증하다, 보증인이, 되다"
infants,"(문어), (주로, 1세, 미만의), 유아, 초심자, (드물게), (사물의), 초기, 단계에, 있는, 것, 유아의, 유아용의"
gothic,"고딕, 양식의, 고딕기의, 미술, 공예, 고딕파의"
cylinder,"실린더, 원통, 기통"
witch,마녀
buck,"벅, 돈, 달러, 책임을, 전가하다, 저항하다"
eh,에
congratulations,"~을, 축하합니다"
tba,"to, be, arranged(후에, 알림), 미정"
cohen,코엔
sie,시영
usgs,"United, States, Geological, Survey(미국, 지질, 조사소)"
puppy,"강아지, 새끼"
kathy,"여자, 이름"
acre,"에이커, 많은"
graphs,"…을, 그래프로, 만들다, 도식으로, 나타내다, 도시(圖示)하다, 도표, (특히), 선형, 그래프"
surround,"주변, 둘러싸다, 에워싸다"
cigarettes,"담배, 궐련"
revenge,"복수, 보복"
expires,"내쉬다, 방출하다, 기한이, 끝나다, 꺼지다(die, out), 숨을, 내쉬다(exhale)"
enemies,"(한정적), 적(군)의, 적국(인)의, 적, 적병, 원수"
lows,"(인생의), 고저(高低), 기복"
controllers,"회계, 감사관, 관제관((미), air, traffic, controller), (전동기, 등의), 제어, 장치, 관리자, 제어기"
aqua,"물, 연한, 녹청색, 액체"
chen,"(때·기회를), 이용해서, 타다, 소유하다, (어떤, 목적으로), 모이다, 좇아가다"
emma,"여자, 이름, 무선에서, 문자, m을, 나타내는, 통신, 용어"
consultancy,"컨설턴트업, 조언, 전문의로서의, 임무"
finances,"(←『타동사』), 재무를, 처리하다, 재정을, 관리하다, (finances), 재원, 재정, 융자"
accepts,"(고어), 받아들이다, …을, 받아들이다, …을, 진실하다고, 보다"
enjoying,"…을, 즐기다, 향유하다, (재귀, 용법), 유쾌하게, 지내다"
conventions,"(정식), 집회, (정당간의), 협정(agreement), (사회·예술상의), 관습, 규칙, 협의회"
eva,"여자, 이름, extravehicular, activity, 선외, 활동"
patrol,"순찰, 경찰, 경비, 초계"
smell,"냄새, 냄새나다, 냄새를, 맡다, 후각, 향기"
pest,"해충, 유해물, 작은, 동물"
hc,"Heralds', College, High, Church, High, Commissioner"
italiano,"이탈리아어의., 이탈리아인,, 이탈리아어."
coordinates,좌표
rca,"Royal, College, of, Art, Royal, Canadian, Academy, Radio, Corporation, of, America"
fp,"fully, paid, fine, paper, fireplug"
carnival,"카니발, 축제, 난장판, 전시회"
roughly,"대략, 거의, 거칠게"
sticker,"스티커, 가격표, 접착제"
promises,"약속, 낌새, 밝은, 전망, …을, 약속하다, …의, 가망이, 있다"
responding,"…이라고, 대답하다, (아치를, 받치는), 대응, 기둥, 대답하다, 반응하다, 응창(應唱)하다"
reef,"산호초, 암초"
physically,"자연, 과학적으로, 자연의, 법칙에, 따라, 신체적으로"
divide,"나누다, 분할하다, 가르다, 분열시키다, 분배하다"
stakeholders,"건, 돈을, 보관하는, 사람, 계쟁물(係爭物), 보관자"
hydrocodone,하이드로코돈
gst,"그리니치, 항성시(Greenwich, Sidereal, Time)"
consecutive,"연속되는, 연속적인, 논리가, 일관된"
cornell,"코넬, 대학교"
satin,"수자직, 공단의, 부드러운"
bon,"좋은, 봉, 곶"
deserve,"자격, 만하다, 가치, 싸다, 마땅히"
attempting,"…을, 시도하다, (고어), 노리다, 시도, 빼앗으려는, 기도, 실패작"
mailto,"~에, 못박다"
promo,"광고, 선전, 선전용의, 선전용, 비디오"
jj,"Judges, Justices"
representations,"사실의, 진술, 및, 그, 보증"
chan,"낳다, 생산하다, 산출하다, 생산품, 재산"
worried,"걱정되는, 우려되는, 두려운"
tunes,"레코드, 음반, CD"
garbage,"쓰레기, 찌꺼기"
competing,"모순된, 서로, 경합하는"
combines,"…을, 결합하여, 하나로, 하다, …을, 아울러, 가지다, (미), 콤바인으로, 수확하다, 결합하다, 합동하다"
mas,"(비격식), (유아어), 엄마"
beth,"여자, 이름, 베이스, 베트"
bradford,브래드퍼드
len,"남자, 이름"
phrases,"말을, 하다, 구(문장을, 구성하는, 단위로서, 주어·술어, 구조를, 갖지, 않는, 어군., 약자, (일반적으로), 어구, 말씨, …을, (어떤, 특정한, 어법으로), 말하다"
kai,"(닫힌, 것을), 열다, 캐럿, (Kāi), 성(姓), (길을), 트다, (구멍을), 뚫다"
peninsula,반도
chelsea,"첼시, 첼시풍의, 자유분방한"
boring,"지루한, 따분한, 재미없는, 지겨운, 보링"
reynolds,레이놀즈
dom,"수사의, 존칭, 「지위」, 「계급」, 「세력, 범위」, 「영지(領地)」, 등의, 뜻, 「…의, 상태」, 「…의, 관념」, 등의, 뜻"
jill,"여자, 이름, 소녀, 젊은, 여자"
accurately,"정확하게, 그대로"
speeches,"(보통, one's, speech), 말하는, 능력, 말하기, 말투, 연설, 말하는, 언어"
reaches,"도착하다, 미치다, 명중하다, 손을, 뻗치다, (공간적·시간적으로), 뻗다"
schema,"개요, 도표, 대요"
considers,"숙고하다, …이라고, 여기다, …을, 고려에, 넣다, (우열·적부(適否)를), 고려하다, 주의하여, 보다"
sofa,소파
catalogs,"…을, 목록에, 싣다, …의, 목록을, 만들다, 도서, 목록, (상품, 등의), 카탈로그, (미), 대학, 요람"
ministries,"(the, ministry), 목사의, 직무, 장관의, 직무, (종종, the, Ministry), (영), 내각, (보통, Ministry), (영국·일본, 등의), 부, 봉사"
vacancies,"빔, 빈터, 간극, 방심, (상태), 빈, 격자점(格子點)"
quizzes,"(주로, 미·비격식), 간단한, 질문을, 하다, 이것저것, 질문하다, (주로, 미), (구독·필기로, 보는), 간단한, 시험, 심문, (놀이로서의), 퀴즈"
parliamentary,의회의
obj,"object, objection"
prefix,"접두사, 국번, 식별번호"
lucia,"여자, 이름, Saint, Lucy의, 라틴어명"
savannah,"서배너, 서배너, 강"
barrel,"배럴, 통, 총신, 북"
typing,"타자, 기술"
nerve,"신경, 용기, 긴장, 급소, 짜증"
dans,"댄스,, 무도,, 무용(dansstycke,, danstillställning)"
planets,"행성, (인간의, 운명을, 좌우하는), 운성(運星), (미·비격식), 중요한, 것, 뛰어난, 사람"
deficit,"적자, 결손, 부족액"
boulder,"둥근, 돌, 바위, 볼더"
pointing,"뾰족하게, 만들기, 지시, 구두법"
renew,"새롭게, 하다, 갱신하다, 재개하다, 연장하다, 회복하다"
coupled,"(비격식), (짝이, 된), 2개, (단수·복수, 취급), 한, 쌍의, 남녀(부부,, 약혼자,, 연인,, 춤의, 상대, 등), 짝힘, …을, 잇다, …을, 연관하여, 생각하다"
viii,"항혈우병(抗血友病), 인자(antihemophilic, factor)"
myanmar,미얀마
metadata,메타데이터
harold,"남자, 이름, 해럴드, 공동, 묘지에서, 어슬렁거리는, 사람"
circuits,"(…을), 순회하다, 한, 바퀴, 돌다, 순회, 정기적, 순회(판사의, 지방, 순회,, 목사의, 순회, 설교,, 외판원의, 순회, 판매, 등), 순회, 재판구"
floppy,"헐렁한, 축, 늘어진, 용기, 없는"
texture,"질감, 씹히는, 느낌, 직물"
handbags,"핸드백((미), purse, valise, pocket, book)"
jar,"병, 항아리, 단지"
ev,"English, Version, 영역본, electron, volt"
somerset,"서머싯, 공, 던져서, 뒤집다, …에게, 공중제비를, 시키다"
incurred,"빠지다, 초래하다, 입다, 지다"
acknowledge,"…을, 인정하다, 알다, 승인하다, 감사하다, 확인하다"
thoroughly,"완벽하게, 철저하게, 아주, 깨끗하게"
antigua,"안티과, (약어)Ant"
nottingham,"노팅엄, 영국, 잉글랜드, Nottinghamshire주의, 주도"
thunder,"천둥, 썬더, 굉음을, 내다"
tent,텐트
caution,"주의, 경고, 조심, 신중함, 경계"
identifies,"의기, 투합하다, 견해를, 같이하다, 입장이, 되다, 동일시하다, (재귀, 용법, 또는, 수동태), (감정·이해관계·행동, 등의, 면에서), 결부되다"
locks,"자물쇠, (운하·댐, 등의), 수문, 로크, 자물쇠를, 채우다, (자물쇠를, 채워), 간수하다"
modelling,"모범, 모형, (예술, 작품의, 주제의), 모델, 모형의, 모범적인"
namely,"즉, 소위, …와, 같은"
miniature,"소형의, 축소, 모형, 세밀화"
dept,"부, 부서, 과, 학과"
hack,"난도질하다, 늙은, 말, 고용된"
dare,"감히, …하다, 도전, 용기"
euros,"유로, (the, euro), (화폐, 제도로서의), 유로"
interstate,"주간, 국가간, 주사이의, 정부간, 전국적"
pirates,"해적질하다, 해적(sea, robber), 훔치는, 사람, 저작권, 침해자, …에, 대해, 해적질하다"
aerial,"공기의, 항공기에, 의한, 안테나"
hawk,"매, 덤벼들다, 강경론자"
consequence,"결과, 영향, 성과, 귀결, 대가"
rebel,"반항하다, 반군, 반란, 폭도, 레벨"
systematic,"체계적인, 조직적인"
perceived,"(오감으로), 감지하다, 알아차리다, (오감으로), 알아차리다, 이해하다, …을, 인지하다"
origins,"(종종, origins), 기원, 원인, (종종, origins), 가문, (근육·신경의), 기점(起點), (좌표의), 원점"
hired,"고용한, 세, 주는, 부리려고, 채용한"
makeup,"화장, 구성, 메이크업"
textile,"섬유, 직물, 방직의"
lamb,"양고기, 어린, 양, 램, 새끼양"
madagascar,"마다가스카르, 아프리카, 남동쪽, 인도양의, 섬나라"
nathan,"남자, 이름, 나단, George, Jean, 네이선;, Since, Ibsen"
tobago,"토바고, 섬, 서인도, 제도, 남서부의, 섬"
presenting,"주다, (정식으로), 소개하다(introduce), (재귀, 용법), 출석하다, (영), 성직, 추천권을, 행사하다, 무기를, 겨누다"
cos,"cash, on, shipment(선적불), chief, of, staff(참모총장), cosine(코사인)"
troubleshooting,"고장의, 수리, 분쟁의, 조정, 분쟁, 조정"
uzbekistan,"우즈베키스탄, 1991년, 소련의, 해체와, 더불어, 독립국이, 됨"
indexes,"(책의), 색인, 표시, (격식), 지침, 색인을, 달다, …을, 나타내다"
pac,"Political, Action, Committee(정치, 활동, 위원회), 끈, 달린, 혹한용, 방수, 장화, Pacific(태평양)"
rl,"Rugby, League, Lebanon"
erp,"유럽, 부흥, 계획(European, Recovery, Program)"
centuries,"100년, 100(의, 한, 무리), (고대, 로마, 군대에서), 100인대(隊), (C-), (활자의), 센추리체, (미·속어), 100달러, (지폐)"
gl,"glucinum, glass, gloss"
magnitude,"규모, 정도, 중요성"
ui,"실업, 보험, 사용자, 인터페이스, 아래와, 같이"
richardson,리처드슨
hindu,"힌두교의, 힌두인, 힌두의"
dh,"지명타자, dirham"
fragrances,"방향(芳香)(성), 향기로움, 향기, 향기, 나는, 것(향수, 등), cf., PERFUME"
vocabulary,"어휘, 단어"
licking,"때려눕히기, 역전, 패배"
earthquake,지진
vpn,"Virtual, Private, Network(가상, 사설망)"
fundraising,"자금, 조달, 모금"
fcc,"연방, 통신, 위원회(Federal, Communications, Commission)"
markers,"표(시)를, 하는, 사람, (서표·묘석·기념비, 등), 표시가, 되는, 것, (경기의), 득점, 기록자, 표지, 유전자, 표지(genetic, marker)"
weights,"무게, 형법(衡法), 무거운, 것, …에, 무게를, 더하다, (보통, 수동태), 지우다"
albania,알바니아
geological,지질학의
assessing,"(과세액, 결정을, 위하여), 평가하다, 부과하다, …의, 가치를, 판단하다, 사정(査定)하다, 매기다"
lasting,"지속되는, 영구적인, 내구력이, 있는, 오랜, 영원한"
wicked,"사악한, 심하게, 고약한, 부도덕한"
eds,"editions, editors, English, Dialect, Society"
introduces,"대면시키다, 처음으로, 내놓다, 초보, 단계를, 가르치다, 창안하다, 꺼내다"
kills,"죽이다, (급히), 그만두다, 약하게, 하다, 살인하다, 시들다"
roommate,"한, 방을, 쓰는, 사람, 룸메이트, 동숙인"
webcams,"〔컴퓨터〕, 웹캠(인터넷에서, 방영하는, 영상을, 찍기, 위한, 특수, 비디오카메라)"
pushed,"밀렸다, 추진, 눌렀다, 강요, 강행"
webmasters,"〔컴퓨터〕, 웹마스터(웹서버나, 웹사이트, 관리자)"
ro,"Receiving, Office, Regimental, Order, Relieving, Officer"
df,"direction, finder, damage, free, Dean, of, Faculty"
computational,"계산에, 관한"
acdbentity,
participated,"함께, 하다(share), …에, 한몫, 끼다, 참가하다, 띠다, 가담하다"
junk,"쓰레기, 가치없는, 헤로인, 변칙의"
handhelds,"small, and, light, enough, to, be, operated, while, you, hold, it, in, your, hands"
wax,"왁스, 밀랍, 귀지, 차다, 음반"
lucy,"여자, 이름, 화석, 원인에, 붙인, 이름, 루시"
answering,"응답의, 상응하는"
hans,"남자, 이름, 독일인,, 네덜란드인의, 별명, 독일, 사람"
impressed,"감명, 받는, 인상, 받는, 감동, 받는"
slope,"경사, 슬로프, 스키장"
reggae,레게
failures,"실패, 태만, 부족, 쇠약, 파산"
poet,시인
conspiracy,"음모, 공모, 모의, 파문"
surname,성
theology,"신학, 신학, 이론, 종교, 심리학"
nails,"못, 손톱, 못박아, 붙이다, 고정시키다, 발톱"
evident,"명백한, 분명한, 생생한"
whats,"what, is, (비격식), what, does의, 단축형, what, has의, 단축형"
rides,"타다, 말을, 타다, 타고, 가다, 부리다, (일반적으로), …을, 타다"
rehab,"재활, 치료, 회복, 재생"
epic,"서사시, 웅대한, 영웅적인, 대규모의, 무훈시"
saturn,"토성, 사투르누스, 고대, 로마의, 농경의, 신"
organizer,"조직자, 주최자, 노동조합의, 조직책"
nut,"견과, 미친, 너트, 열성적인"
allergy,"알레르기, 이상, 과민증, 혐오"
sake,"위함, 이익"
twisted,"비뚤어진, 뒤틀린, 꼬인"
combinations,"짜맞추기, (몇, 개를, 합친), 결합체, 연합체, 팀워크, 다이얼, (맞추기), 자물쇠"
preceding,"이전, 앞서는, 지난, 전의, 앞"
merit,"장점, 가치, 공로, 이점, 혜택"
enzyme,효소
cumulative,"누적하는, 누진적인, 점증적인"
zshops,처진윗입술
planes,"비행기, 수준, 평면, 평평한(flat,, level), 평면(도형)의"
edmonton,"에드먼턴, 캐나다, Alberta주의, 주도, 예전, 영국, London의, Metropolitan, boroughs의, 하나"
tackle,"해결, 다루다, 도전, 씨름하다, 대처"
