English,Korean
a,"영어, 알파벳의, 첫째, 자, 하나의, 어떤, 하나의, …이라는, 것"
in,"…안에, …으로, …에"
for,"…을, 위하여, …을, 기념하여, …용의"
is,"be의, 3인칭·단수·직설법·현재형, 모음, 앞에서의, iso-의, 별형, island"
on,"위에, 계속하여, …에, …의, 표면에"
that,"저것, 것, 그, 다른"
by,"…에, 의하여"
this,"이것, 이런, 지금, 여기, 이렇게"
with,"함께, …때문에"
i,"나는, 나, 내가"
you,"여러분, 당신, 너, 자네"
it,"그것, 이것, 그런"
not,"아니다, 않다, 없다"
or,"또는, 혹은, 말하자면, 즉, …이나…"
be,"…이다, 있다, 존재하다"
are,"be의, 복수형, 및, 2인칭·단수·직설법·현재, 면적의, 단위(아르)"
from,"…에서, …으로부터, …부터"
at,"…에, …으로, …에서"
as,"…처럼, …으로서, …하면서"
your,"여러분의, 당신의, 너의, 자네의"
all,"모든, 모두, 다, 전부, 전혀"
have,"가지다, 얻다, 걸리다, 낳다, 소유하다"
new,"새로운, 새, 뉴, 신..., 다시"
more,"더, 더, 많은, 더욱, 이상으로, 더, 큰"
an,"부정관사, a"
was,"be의, 직설법·과거·1인칭, 및, 3인칭·단수형"
we,우리
will,"의지, …할, 것이다, 유언"
home,"집, 가정의, 홈, 고향의, 주택"
can,"할, 수, 있다, 캔, 통조림"
us,"우리, 미국, 위에, 말한, 바와, 같이"
about,"…에, 대하여, 약…, 정도, 좀, 거의"
if,"…라면, 만약, 만일"
page,"페이지, 쪽, 한, 장, 호출하다"
my,"저의, 나의, 난"
has,"have의, 3인칭·단수·직설법·현재형"
free,"자유의, 무료의, …이, 없는, 해방시키다, 벗어난"
but,"~만, 하지만, 아니면, 그러나, 그런데"
our,"우리의, 현대의"
one,"하나, 어느, 한번, 한, 개, 한쪽"
other,"다른, 기타의, 타인, 나머지의, 반면에"
do,"해나가다, 하다, 일, 되어가다, 들어주다"
no,"없다, 아니다, …하지, 말다, 싫어, 거부"
they,"그들, 그것들, 저들"
site,"사이트, 현장, 유적지, 장소, 부지"
he,"그는, 그, 사람은, 그것은, 남자, 신"
up,"위, 일어나다, 오르다, 증가하다, 늘리다"
may,"수도, 있다, 것이다, 지도, 모른다, 아마도, 5월"
what,"무엇, 어떻게, 뭐라고, 어떤, 무슨"
